DES,ticker
GRAIN - CBOT WHEAT 1st Contract Price,W 1 Comdty
GRAIN - CBOT WHEAT Non Comercial Long,CBT1WNCL Index
GRAIN - CBOT WHEAT Non Comercial Short,CBT1WNCS Index
GRAIN - CBOT WHEAT Non Comercial Spreading,CBT1WNCP Index
GRAIN - CBOT WHEAT Commercial Long,CBT1WCOL Index
GRAIN - CBOT WHEAT Commercial Short,CBT1WCOS Index
GRAIN - CBOT WHEAT Total Long,CBT1WTLL Index
GRAIN - CBOT WHEAT Total Short,CBT1WTLS Index
GRAIN - CBOT WHEAT Open Interest,CBT1WOIN Index
GRAIN - CBOT WHEAT Non Reportable Long,CBT1WNRL Index
GRAIN - CBOT WHEAT Non Reportable Short,CBT1WNRS Index
GRAIN - CBOT WHEAT Managed Money Long,CFFDAMML Index
GRAIN - CBOT WHEAT Managed Money Short,CFFDAMMS Index
GRAIN - CBOT WHEAT Producer Long,CFFDAPML Index
GRAIN - CBOT WHEAT Producer Short,CFFDAPMS Index
GRAIN - CBOT WHEAT Swap Dealers Long,CFFDASWL Index
GRAIN - CBOT WHEAT Swap Dealers Short,CFFDASWS Index
GRAIN - CBOT WHEAT Swap Dealers Spreading,CFFDASWD Index
GRAIN - CBOT WHEAT Managed Money Spread,CFFDAMMD Index
GRAIN - CBOT WHEAT Other Reportables Long,CFFDAORL Index
GRAIN - CBOT WHEAT Other Reportables Short,CFFDAORS Index
GRAIN - CBOT WHEAT Other Reportables Spreading,CFFDAORD Index
GRAIN - CBOT WHEAT Non Commercial Net Position,CBT1WNCN Index
GRAIN - KCB WHEAT 1st Contract Price,KW1 Comdty
GRAIN - KCB WHEAT Non Comercial Long,KCBTWNCL Index
GRAIN - KCB WHEAT Non Comercial Short,KCBTWNCS Index
GRAIN - KCB WHEAT Non Comercial Spreading,KCBTWNCP Index
GRAIN - KCB WHEAT Commercial Long,KCBTWCOL Index
GRAIN - KCB WHEAT Commercial Short,KCBTWCOS Index
GRAIN - KCB WHEAT Total Long,KCBTWTLL Index
GRAIN - KCB WHEAT Total Short,KCBTWTLS Index
GRAIN - KCB WHEAT Open Interest,KCBTWOIN Index
GRAIN - KCB WHEAT Non Reportable Long,KCBTWNRL Index
GRAIN - KCB WHEAT Non Reportable Short,KCBTWNRS Index
GRAIN - KCB WHEAT Managed Money Long,CFFDBMML Index
GRAIN - KCB WHEAT Managed Money Short,CFFDBMMS Index
GRAIN - KCB WHEAT Producer Long,CFFDBPML Index
GRAIN - KCB WHEAT Producer Short,CFFDBPMS Index
GRAIN - KCB WHEAT Swap Dealers Long,CFFDBSWL Index
GRAIN - KCB WHEAT Swap Dealers Short,CFFDBSWS Index
GRAIN - KCB WHEAT Swap Dealers Spreading,CFFDBSWD Index
GRAIN - KCB WHEAT Managed Money Spread,CFFDBMMD Index
GRAIN - KCB WHEAT Other Reportables Long,CFFDBORL Index
GRAIN - KCB WHEAT Other Reportables Short,CFFDBORS Index
GRAIN - KCB WHEAT Other Reportables Spreading,CFFDBORD Index
GRAIN - KCB WHEAT Non Commercial Net Position,KCBTWNCN Index
GRAIN - MGE WHEAT 1st Contract Price,MW1 Comdty
GRAIN - MGE WHEAT Non Comercial Long,MGE1WNCL Index
GRAIN - MGE WHEAT Non Comercial Short,MGE1WNCS Index
GRAIN - MGE WHEAT Non Comercial Spreading,MGE1WNCP Index
GRAIN - MGE WHEAT Commercial Long,MGE1WCOL Index
GRAIN - MGE WHEAT Commercial Short,MGE1WCOS Index
GRAIN - MGE WHEAT Total Long,MGE1WTLL Index
GRAIN - MGE WHEAT Total Short,MGE1WTLS Index
GRAIN - MGE WHEAT Open Interest,MGE1WOIN Index
GRAIN - MGE WHEAT Non Reportable Long,MGE1WNRL Index
GRAIN - MGE WHEAT Non Reportable Short,MGE1WNRS Index
GRAIN - MGE WHEAT Managed Money Long,DFU1AMML Index
GRAIN - MGE WHEAT Managed Money Short,DFU1AMMS Index
GRAIN - MGE WHEAT Producer Long,DFU1APML Index
GRAIN - MGE WHEAT Producer Short,DFU1APMS Index
GRAIN - MGE WHEAT Swap Dealers Long,DFU1ASWL Index
GRAIN - MGE WHEAT Swap Dealers Short,DFU1ASWS Index
GRAIN - MGE WHEAT Swap Dealers Spreading,DFU1ASWD Index
GRAIN - MGE WHEAT Managed Money Spread,DFU1AMMD Index
GRAIN - MGE WHEAT Other Reportables Long,DFU1AORL Index
GRAIN - MGE WHEAT Other Reportables Short,DFU1AORS Index
GRAIN - MGE WHEAT Other Reportables Spreading,DFU1AORD Index
GRAIN - MGE WHEAT Non Commercial Net Position,MGE1WNCN Index
GRAIN - CBOT SOYBEAN 1st Contract Price,S 1 Comdty
GRAIN - CBOT SOYBEAN Non Comercial Long,CBT1SNCL Index
GRAIN - CBOT SOYBEAN Non Comercial Short,CBT1SNCS Index
GRAIN - CBOT SOYBEAN Non Comercial Spreading,CBT1SNCP Index
GRAIN - CBOT SOYBEAN Commercial Long,CBT1SCOL Index
GRAIN - CBOT SOYBEAN Commercial Short,CBT1SCOS Index
GRAIN - CBOT SOYBEAN Total Long,CBT1STLL Index
GRAIN - CBOT SOYBEAN Total Short,CBT1STLS Index
GRAIN - CBOT SOYBEAN Open Interest,CBT1SOIN Index
GRAIN - CBOT SOYBEAN Non Reportable Long,CBT1SNRL Index
GRAIN - CBOT SOYBEAN Non Reportable Short,CBT1SNRS Index
GRAIN - CBOT SOYBEAN Managed Money Long,CFFDGMML Index
GRAIN - CBOT SOYBEAN Managed Money Short,CFFDGMMS Index
GRAIN - CBOT SOYBEAN Producer Long,CFFDGPML Index
GRAIN - CBOT SOYBEAN Producer Short,CFFDGPMS Index
GRAIN - CBOT SOYBEAN Swap Dealers Long,CFFDGSWL Index
GRAIN - CBOT SOYBEAN Swap Dealers Short,CFFDGSWS Index
GRAIN - CBOT SOYBEAN Swap Dealers Spreading,CFFDGSWD Index
GRAIN - CBOT SOYBEAN Managed Money Spread,CFFDGMMD Index
GRAIN - CBOT SOYBEAN Other Reportables Long,CFFDGORL Index
GRAIN - CBOT SOYBEAN Other Reportables Short,CFFDGORS Index
GRAIN - CBOT SOYBEAN Other Reportables Spreading,CFFDGORD Index
GRAIN - CBOT SOYBEAN Non Commercial Net Position,CBT1SNCN Index
GRAIN - CBOT CORN 1st Contract Price,C 1 Comdty
GRAIN - CBOT CORN Non Comercial Long,CBT1CNCL Index
GRAIN - CBOT CORN Non Comercial Short,CBT1CNCS Index
GRAIN - CBOT CORN Non Comercial Spreading,CBT1CNCP Index
GRAIN - CBOT CORN Commercial Long,CBT1CCOL Index
GRAIN - CBOT CORN Commercial Short,CBT1CCOS Index
GRAIN - CBOT CORN Total Long,CBT1CTLL Index
GRAIN - CBOT CORN Total Short,CBT1CTLS Index
GRAIN - CBOT CORN Open Interest,CBT1COIN Index
GRAIN - CBOT CORN Non Reportable Long,CBT1CNRL Index
GRAIN - CBOT CORN Non Reportable Short,CBT1CNRS Index
GRAIN - CBOT CORN Managed Money Long,CFFDCMML Index
GRAIN - CBOT CORN Managed Money Short,CFFDCMMS Index
GRAIN - CBOT CORN Producer Long,CFFDCPML Index
GRAIN - CBOT CORN Producer Short,CFFDCPMS Index
GRAIN - CBOT CORN Swap Dealers Long,CFFDCSWL Index
GRAIN - CBOT CORN Swap Dealers Short,CFFDCSWS Index
GRAIN - CBOT CORN Swap Dealers Spreading,CFFDCSWD Index
GRAIN - CBOT CORN Managed Money Spread,CFFDCMMD Index
GRAIN - CBOT CORN Other Reportables Long,CFFDCORL Index
GRAIN - CBOT CORN Other Reportables Short,CFFDCORS Index
GRAIN - CBOT CORN Other Reportables Spreading,CFFDCORD Index
GRAIN - CBOT CORN Non Commercial Net Position,CBT1CNCN Index
GRAIN - CBOT SOYBEAN OIL 1st Contract Price,BO1 Comdty
GRAIN - CBOT SOYBEAN OIL Non Comercial Long,CBT2SNCL Index
