"Country","Budget Bal %GDP","CA Bal %GDP","CPI","Real GDP","IP","PMI","PPI","FX Reserve","Retail Sales","Unemployment","Total_Score"
"SINGAPORE",-2,18.51,5.6,4.3,11.1,NA,NA,345219.1,14.1,2.3,0.538992812597223
"EUROZONE",-4.07,2.09,8.1,5.6,3.1,NA,0.5,329614,1.8,6.8,0.490937621636059
"SWITZERLAND",-0.31,7.18,2.9,5.4,7.1,59.8,4.4,925451.42,-2.1,2.2,0.483632334786663
"NORWAY",8.86,19.94,5.7,2.7,2.8,55.65,64.7,72592.7,-9.3,3.8,0.48228674670883
"CANADA",-12.32,0.17,7.7,4.604,6.37,NA,15.59,80218,15.6,5.2,0.479174852115026
"UNITED STATES",-6.89,-3.85,8.6,4,3.81,NA,0.9,155.26,9,7.1,0.464297328124081
"GERMANY",-3.2,6.55,6.9,3.7,-1.6,NA,31.1,37474,-0.4,5,0.425894096456921
"AUSTRALIA",-3.98,1.68,5.1,3.6,-1.3,NA,2.5,35095,10,3.9,0.360862169300396
"BRITAIN",-5.18,-1.96,9.1,11.4,-3.5,NA,-1.3,112609,-6.4,3.7,0.358772865565275
"JAPAN",-6.15,3.63,2.5,0.9,-2.7,NA,-5.5,1204539,3.7,2.6,0.3318022781847
"NEW ZEALAND",-3.47,-6.6,6.9,0.5,NA,NA,8.75,11076,-3.05,3.3,0.305063341139476
"HONG KONG",0.01,12.14,1.2,-4,-1.3,NA,2.3,465,-1.6,5.1,0.295138387074708
