Name,BBG_Ticker,Field,Country,Category,,
EURUSD,EURUSD Curncy,PX_LAST,EU,FX,,
USDJPY,USDJPY Curncy,PX_LAST,JP,FX,,
GBPUSD,GBPUSD Curncy,PX_LAST,UK,FX,,
AUDUSD,AUDUSD Curncy,PX_LAST,AU,FX,,
USDCAD,USDCAD Curncy,PX_LAST,CA,FX,,
NZDUSD,NZDUSD Curncy,PX_LAST,NZ,FX,,
USDCHF,USDCHF Curncy,PX_LAST,CH,FX,,
USDNOK,USDNOK Curncy,PX_LAST,NO,FX,,
USDCNH,USDCNH Curncy,PX_LAST,CN,FX,,
USDSGD,USDSGD Curncy,PX_LAST,SG,FX,,
USDTRY,USDTRY Curncy,PX_LAST,TR,FX,,
USDHKD,USDHKD Curncy,PX_LAST,HK,FX,,
USDZAR,USDZAR Curncy,PX_LAST,ZA,FX,,
USDMXN,USDMXN Curncy,PX_LAST,MX,FX,,
USDCNY 3m NDF,CCN3M Curncy,PX_LAST,CN,FX,CCNI3M Curncy,
USDKRW 3m NDF,KWN3M Curncy,PX_LAST,KR,FX,KWNI3M Curncy,
USDTWD 3m NDF,NTN3M Curncy,PX_LAST,TW,FX,NTNI3M Curncy,
USDIDR 3m NDF,IHN3M Curncy,PX_LAST,ID,FX,IHNI3M Curncy,
USDINR 3m NDF,IRN3M Curncy,PX_LAST,IN,FX,IRNI3M Curncy,
USDPHP 3m NDF,PPN3M Curncy,PX_LAST,PH,FX,PPNI3M Curncy,
EURUSD 3m forward point,EUR3M Curncy,PX_LAST,EU,FX,EUR3M Curncy Curncy,
USDJPY 3m forward point,JPY3M Curncy,PX_LAST,JP,FX,JPY3M Curncy Curncy,
GBPUSD 3m forward point,GBP3M Curncy,PX_LAST,UK,FX,GBP3M Curncy Curncy,
AUDUSD 3m forward point,AUD3M Curncy,PX_LAST,AU,FX,AUD3M Curncy Curncy,
USDCAD 3m forward point,CAD3M Curncy,PX_LAST,CA,FX,CAD3M Curncy Curncy,
NZDUSD 3m forward point,NZD3M Curncy,PX_LAST,NZ,FX,NZD3M Curncy Curncy,
USDCHF 3m forward point,CHF3M Curncy,PX_LAST,CH,FX,CHF3M Curncy Curncy,
USDNOK 3m forward point,NOK3M Curncy,PX_LAST,NO,FX,NOK3M Curncy Curncy,
USDCNH 3m forward point,CNH3M Curncy,PX_LAST,CN,FX,CNH3M Curncy Curncy,
USDSGD 3m forward point,SGD3M Curncy,PX_LAST,SG,FX,SGD3M Curncy Curncy,
USDTRY 3m forward point,TRY3M Curncy,PX_LAST,TR,FX,TRY3M Curncy Curncy,
USDHKD 3m forward point,HKD3M Curncy,PX_LAST,HK,FX,HKD3M Curncy Curncy,
USDZAR 3m forward point,ZAR3M Curncy,PX_LAST,ZA,FX,ZAR3M Curncy Curncy,
USDMXN 3m forward point,MXN3M Curncy,PX_LAST,MX,FX,MXN3M Curncy Curncy,
EURUSD 3m implied yield,EURI3M Curncy,PX_LAST,EU,FX,,
USDJPY 3m implied yield,JPYI3M Curncy,PX_LAST,JP,FX,,
GBPUSD 3m implied yield,GBPI3M Curncy,PX_LAST,UK,FX,,
AUDUSD 3m implied yield,AUDI3M Curncy,PX_LAST,AU,FX,,
USDCAD 3m implied yield,CADI3M Curncy,PX_LAST,CA,FX,,
NZDUSD 3m implied yield,NZDI3M Curncy,PX_LAST,NZ,FX,,
USDCHF 3m implied yield,CHFI3M Curncy,PX_LAST,CH,FX,,
USDNOK 3m implied yield,NOKI3M Curncy,PX_LAST,NO,FX,,
USDCNH 3m implied yield,CNHI3M Curncy,PX_LAST,CN,FX,,
USDSGD 3m implied yield,SGDI3M Curncy,PX_LAST,SG,FX,,
USDTRY 3m implied yield,TRYI3M Curncy,PX_LAST,TR,FX,,
USDHKD 3m implied yield,HKDI3M Curncy,PX_LAST,HK,FX,,
USDZAR 3m implied yield,ZARI3M Curncy,PX_LAST,ZA,FX,,
USDMXN 3m implied yield,MXNI3M Curncy,PX_LAST,MX,FX,,
USDCNY 3m NDF implied yield,CCNI3M Curncy,PX_LAST,CN,FX,,
USDKRW 3m NDF implied yield,KWNI3M Curncy,PX_LAST,KR,FX,,
USDTWD 3m NDF implied yield,NTNI3M Curncy,PX_LAST,TW,FX,,
USDIDR 3m NDF implied yield,IHNI3M Curncy,PX_LAST,ID,FX,,
USDINR 3m NDF implied yield,IRNI3M Curncy,PX_LAST,IN,FX,,
USDPHP 3m NDF implied yield,PPNI3M Curncy,PX_LAST,PH,FX,,
EURUSD 6m forward point,EUR6M Curncy,PX_LAST,EU,FX,,
USDJPY 6m forward point,JPY6M Curncy,PX_LAST,JP,FX,,
GBPUSD 6m forward point,GBP6M Curncy,PX_LAST,UK,FX,,
AUDUSD 6m forward point,AUD6M Curncy,PX_LAST,AU,FX,,
USDCAD 6m forward point,CAD6M Curncy,PX_LAST,CA,FX,,
NZDUSD 6m forward point,NZD6M Curncy,PX_LAST,NZ,FX,,
USDCHF 6m forward point,CHF6M Curncy,PX_LAST,CH,FX,,
USDNOK 6m forward point,NOK6M Curncy,PX_LAST,NO,FX,,
