Name,BBG_Ticker,Field,Country,Category
,EURUSDV1M Curncy,PX_LAST,,
,USDJPYV1M Curncy,PX_LAST,,
,GBPUSDV1M Curncy,PX_LAST,,
,AUDUSDV1M Curncy,PX_LAST,,
,USDCADV1M Curncy,PX_LAST,,
,NZDUSDV1M Curncy,PX_LAST,,
,USDCHFV1M Curncy,PX_LAST,,
,USDNOKV1M Curncy,PX_LAST,,
,USDCNHV1M Curncy,PX_LAST,,
,USDSGDV1M Curncy,PX_LAST,,
,USDTRYV1M Curncy,PX_LAST,,
,USDHKDV1M Curncy,PX_LAST,,
,USDZARV1M Curncy,PX_LAST,,
,USDMXNV1M Curncy,PX_LAST,,
,USDCNYV1M Curncy,PX_LAST,,
,USDKRWV1M Curncy,PX_LAST,,
,USDTWDV1M Curncy,PX_LAST,,
,USDIDRV1M Curncy,PX_LAST,,
,USDINRV1M Curncy,PX_LAST,,
,USDPHPV1M Curncy,PX_LAST,,
,EURUSDV3M Curncy,PX_LAST,,
,USDJPYV3M Curncy,PX_LAST,,
,GBPUSDV3M Curncy,PX_LAST,,
,AUDUSDV3M Curncy,PX_LAST,,
,USDCADV3M Curncy,PX_LAST,,
,NZDUSDV3M Curncy,PX_LAST,,
,USDCHFV3M Curncy,PX_LAST,,
,USDNOKV3M Curncy,PX_LAST,,
,USDCNHV3M Curncy,PX_LAST,,
,USDSGDV3M Curncy,PX_LAST,,
,USDTRYV3M Curncy,PX_LAST,,
,USDHKDV3M Curncy,PX_LAST,,
,USDZARV3M Curncy,PX_LAST,,
,USDMXNV3M Curncy,PX_LAST,,
,USDCNYV3M Curncy,PX_LAST,,
,USDKRWV3M Curncy,PX_LAST,,
,USDTWDV3M Curncy,PX_LAST,,
,USDIDRV3M Curncy,PX_LAST,,
,USDINRV3M Curncy,PX_LAST,,
,USDPHPV3M Curncy,PX_LAST,,
,EURUSDV6M Curncy,PX_LAST,,
,USDJPYV6M Curncy,PX_LAST,,
,GBPUSDV6M Curncy,PX_LAST,,
,AUDUSDV6M Curncy,PX_LAST,,
,USDCADV6M Curncy,PX_LAST,,
,NZDUSDV6M Curncy,PX_LAST,,
,USDCHFV6M Curncy,PX_LAST,,
,USDNOKV6M Curncy,PX_LAST,,
,USDCNHV6M Curncy,PX_LAST,,
,USDSGDV6M Curncy,PX_LAST,,
