Name,BBG_Ticker,Field,Country,Category
US Treasury 2Y Yield,USGG2YR Index,PX_LAST,US,Rates
US Treasury 5Y Yield,USGG5YR Index,PX_LAST,US,Rates
US Treasury 10Y Yield,USGG10YR Index,PX_LAST,US,Rates
US Treasury 30Y Yield,USGG30YR Index,PX_LAST,US,Rates
US Libor 2Y,USSW2 Curncy,PX_LAST,US,Rates
US Libor 5Y,USSW5 Curncy,PX_LAST,US,Rates
US Libor 10Y,USSW10 Curncy,PX_LAST,US,Rates
US Libor 30Y,USSW30 Curncy,PX_LAST,US,Rates
US MBS Option-Adjusted Spread,LUMSTRUU Index,INDEX_OAS_TSY,US,Rates
US 5Y Real Yield,USGGT05Y Index,PX_LAST,US,Rates
US 10Y Real Yield,USGGT10Y Index,PX_LAST,US,Rates
US 2Y Real Yield,USGGT02Y Index,PX_LAST,US,Rates
US 5Y5Y Inflation Breakeven,USGG5Y5Y Index,PX_LAST,US,Rates
US 10Y Swap Spread,USSFCT10 Curncy,PX_LAST,US,Rates
German Bund 2Y Yield,GDBR2 Index,PX_LAST,DE,Rates
German Bund 5Y Yield,GDBR5 Index,PX_LAST,DE,Rates
German Bund 10Y Yield,GDBR10 Index,PX_LAST,DE,Rates
French OAT 10Y Yield,GFRN10 Index,PX_LAST,FR,Rates
Japanese JGB 10Y Yield,GTJPY10Y Govt,PX_LAST,JP,Rates
Japanese JGB 2Y Yield,GTJPY2Y Govt,PX_LAST,JP,Rates
Japanese JGB 30Y Yield,GTJPY30Y Govt,PX_LAST,JP,Rates
EUR 2Y Swap Rate,EUSA2 Curncy,PX_LAST,EU,Rates
EUR 10Y Swap Rate,EUSA10 Curncy,PX_LAST,EU,Rates
UK Gilt 2Y Yield,GTGBP2Y Govt,PX_LAST,UK,Rates
UK Gilt 5Y Yield,GTGBP5Y Govt,PX_LAST,UK,Rates
UK Gilt 10Y Yield,GTGBP10Y Govt,PX_LAST,UK,Rates
Swiss 2Y Swap Rate,GTCHF2Y Govt,PX_LAST,CH,Rates
Swiss 5Y Swap Rate,GTCHF5Y Govt,PX_LAST,CH,Rates
Swiss 10Y Swap Rate,GTCHF10Y Govt,PX_LAST,CH,Rates
AUD 2Y Swap Rate,ADSO2 Curncy,PX_LAST,AU,Rates
AUD 10Y Swap Rate,ADSO10 Curncy,PX_LAST,AU,Rates
AUD BBSW 2Y,ADSW2 Curncy,PX_LAST,AU,Rates
AUD BBSW 10Y,ADSW10 Curncy,PX_LAST,AU,Rates
CAD 2Y Swap Rate,CDSO2 Curncy,PX_LAST,CA,Rates
CAD 10Y Swap Rate,CDSO10 Curncy,PX_LAST,CA,Rates
China Govt Bond 2Y,GTCNY2Y Govt,PX_LAST,China,Rates
China Govt Bond 5Y,GTCNY5Y Govt,PX_LAST,China,Rates
China Govt Bond 10Y,GTCNY10Y Govt,PX_LAST,China,Rates
China Development Bank 2Y,GCDB2YR Index,PX_LAST,China,Rates
China Development Bank 5Y,GCDB5YR Index,PX_LAST,China,Rates
China Development Bank 10Y,GCDB10YR Index,PX_LAST,China,Rates
CNY 2Y IRS,CCSWO2 Curncy,PX_LAST,China,Rates
CNY 5Y IRS,CCSWO5 Curncy,PX_LAST,China,Rates
CNY 10Y IRS,CCSWO10 Curncy,PX_LAST,China,Rates
CNY 2Y Non-Deliverable IRS,CCSWNI2 Curncy,PX_LAST,China,Rates
