"Country","Budget Bal %GDP","CA Bal %GDP","CPI","Real GDP","IP","PMI","PPI","FX Reserve","Retail Sales","Unemployment","Total_Score"
"SINGAPORE",-3.86,16.82,2.4,4.4,27.3,NA,NA,398074.2,81.9,2.9,0.616433756149462
"CANADA",-1.69,-1.19,3.6,0.593,13.42,NA,17.26,76049,24.1,8.3,0.505876274695588
"EUROZONE",-8.02,2.47,2,0.3,22.6,NA,1.2,317055,9.2,8.1,0.442148655418825
"GERMANY",-4.4,7.08,2.4,-0.5,17.7,NA,7.2,37430,-0.4,6,0.425191107233127
"UNITED STATES",-18.12,-3.05,5,1.8,15.32,NA,1,-29.923,26.5,10.1,0.411685780912261
"SWITZERLAND",-3.06,1.64,0.6,0.7,3.9,68.6,1.63,902518.76,2.4,3.2,0.396715760670686
"HONG KONG",-9.24,9.58,1,8.2,2.6,NA,1.9,494.5,10.4,6,0.383557795741578
"NORWAY",-4.84,2.34,2.7,0.8,0.6,59.89,29.4,77645,5.1,5.5,0.365317501466153
"JAPAN",-9.02,3.14,-0.8,-0.6,19.3,NA,-5.5,1300432,8.3,2.9,0.355609052378756
"NEW ZEALAND",-7.28,-2.6,1.5,5.2,NA,NA,1.18,11880,4.429,4.6,0.341583722318937
"AUSTRALIA",-12.25,2.35,1.1,2,2,NA,2.5,35704,7.6,5.1,0.273495912535062
"BRITAIN",-15.09,-2.51,2.1,-6.1,16.8,NA,-1.3,130867,21.7,4.8,0.257175364079632
